Temps Sain Incubation Asymptotiques Benins Graves QuarantaineB QuarantaineG Hopital Morts RetablisTotal Total ConfinesGrave ConfinesAsymptotique ConfinesBenin ConfinesRetabli ConfinesTotal InfectesTotal InfectesConnu ConfinesSains
0.000 99950.0000000000 50.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 100000.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 
0.979 99945.1714642464 43.5812486746 4.9811015487 1.1420792353 2.8375233768 0.1666928087 0.0000000000 1.4275551260 0.1146105028 0.6890377081 99999.8853894972 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 10.5549520956 1.5942479348 0.0000000000 
1.959 99933.4694353450 44.5972519829 8.9894657816 1.9063306045 3.7967615839 0.5719237284 0.0000000000 4.0631387867 0.3536802667 2.5854416738 99999.6463197332 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 19.3276204852 4.6350625151 0.0000000000 
2.938 99916.6357739426 49.9318632262 12.7738163016 2.5384675561 4.3858121702 1.1386050307 0.0000000000 6.9645994005 0.6568749686 5.5763253120 99999.3431250314 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 27.8013004591 8.1032044312 0.0000000000 
3.917 99894.8203489610 58.5320116279 16.7664154668 3.1675156106 5.0610485431 1.8406145194 0.0000000000 10.0234758824 1.0189376859 9.6806981868 99998.9810623141 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 36.8590700223 11.8640904018 0.0000000000 
4.897 99867.4631635016 70.1944360394 21.2749197275 3.8720190680 5.9623611358 2.6796106531 0.0000000000 13.3616604777 1.4522651336 15.0108623995 99998.5477348664 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 47.1505710620 16.0412711307 0.0000000000 
5.876 99833.5790590140 85.1345761174 26.5650948078 4.7090676157 7.1460064311 3.6746746167 0.0000000000 17.1584181382 1.9760156752 21.7567797315 99998.0239843248 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 59.2532616095 20.8330927549 0.0000000000 
6.855 99791.8304919458 103.8333076707 32.9024846980 5.7285149091 8.6566083014 4.8578237710 0.0000000000 21.6104663795 2.6136417447 30.1828779938 99997.3863582553 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 73.7558980590 26.4682901505 0.0000000000 
7.835 99740.5175490643 126.9891091254 40.5780293052 6.9809032308 10.5489354552 6.2725223105 0.0000000000 26.9311962177 3.3930774019 40.6327207740 99996.6069225981 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 91.3115865194 33.2037185282 0.0000000000 
8.814 99677.5284221750 155.5152711282 49.9275282889 8.5225980002 12.8948988779 7.9739201632 0.0000000000 33.3604822838 4.3478043295 53.5395455479 99995.6521956705 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 112.6794276140 41.3344024470 0.0000000000 
9.793 99600.2641901730 190.5603786331 61.3493425571 10.4197206105 15.7869122986 10.0302387197 0.0000000000 41.1771661191 5.5182980322 69.4419312886 99994.4817019678 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 138.7633803049 51.2074048388 0.0000000000 
10.773 99505.5413337951 233.5440813534 75.3226045125 12.7516815416 19.3410102858 12.5250466202 0.0000000000 50.7125924615 6.9537590182 89.0045535964 99993.0462409818 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 170.6529354216 63.2376390817 0.0000000000 
11.752 99389.4714566842 286.2053425800 92.4273383417 15.6147659119 23.7007125214 15.5603380958 0.0000000000 62.3653721171 8.7141588568 113.0444289317 99991.2858411432 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 209.6685269879 77.9257102130 0.0000000000 
12.731 99247.3160602171 350.6623840971 113.3675097718 19.1260551313 29.0419130573 19.2604231927 0.0000000000 76.6179816367 10.8726706029 142.5633718103 99989.1273293971 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 257.4138827899 95.8784048295 0.0000000000 
13.711 99073.3135713115 429.4842772763 138.9978381601 23.4278793402 35.5788813955 23.7766991100 0.0000000000 94.0558683835 13.5185677821 178.7876498447 99986.4814322179 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 315.8371663895 117.8325674936 0.0000000000 
14.690 98860.4757804054 525.7741682772 170.3550828956 28.6929402413 43.5714092077 29.2934105800 0.0000000000 115.3896945823 16.7606838980 223.2160468705 99983.2393161019 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 387.3025375070 144.6831051623 0.0000000000 
