Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
0.000 99950.0000000000 50.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 100000.0000000000
1.010 99944.8941687992 43.5253262958 9.1690746613 0.1763346562 1.5004663514 0.1207632539 0.7310452559 99999.8792367461
2.020 99932.5609378416 44.8216267241 15.0118129212 0.6030709505 4.2400149169 0.3709596764 2.7406598458 99999.6290403236
3.030 99914.8070246106 50.6068291569 20.1721258727 1.1988043956 7.2436194207 0.6882010043 5.9126851483 99999.3117989957
4.040 99891.7204231910 59.8210096150 25.7061341464 1.9377474554 10.4220531911 1.0688596515 10.2767522610 99998.9311403485
5.050 99862.6289452161 72.3032667188 32.1637529273 2.8241269708 13.9198330006 1.5275926946 15.9657502284 99998.4724073055
6.060 99826.3963447206 88.3361000732 39.9530174616 3.8810317675 17.9371016589 2.0861203763 23.1994609259 99997.9138796236
7.070 99781.4895522616 108.4894866116 49.4727904649 5.1457759351 22.6923119303 2.7709582510 32.2822922356 99997.2290417490
8.080 99725.9574330924 133.5765609994 61.1705912215 6.6685668068 28.4244649950 3.6138763344 43.6099882421 99996.3861236656
9.090 99657.3663545646 164.6569187862 75.5770638653 8.5130866925 35.4054843781 4.6532512162 57.6831642969 99995.3467487838
10.099 99572.7062793423 203.0651138139 93.3347208748 10.7583669797 43.9550998063 5.9358319296 75.1269547631 99994.0641680704
11.109 99468.2701520580 250.4563979069 115.2275776721 13.5016945410 54.4569668011 7.5188511795 96.7168656831 99992.4811488205
12.119 99339.5052504911 308.8670756960 142.2146564016 16.8624788107 67.3764500231 9.4725364773 123.4114450131 99990.5274635226
13.129 99180.8335175617 380.7888687862 175.4691021215 20.9871160685 83.2808680735 11.8831141251 156.3927691708 99988.1168858748
14.139 98985.4373186514 469.2573087135 216.4241886657 26.0549544922 102.8630196282 14.8564140620 197.1160626633 99985.1435859380
15.149 98745.0072724711 577.9539792100 266.8272232570 32.2855060897 126.9687513946 18.5221921336 247.3700426709 99981.4778078663
16.159 98449.4499041408 711.3214763958 328.8020460189 39.9470753323 156.6292333166 23.0392909748 309.3498115641 99976.9607090252
17.169 98086.5552400536 874.6880842527 404.9203060150 49.3669778444 193.0984510770 28.6017588463 385.7442832136 99971.3982411536
18.179 97641.6287009623 1074.3960467713 498.2808219038 60.9434986968 237.8961553967 35.4460319596 479.8401734420 99964.5539680403
19.189 97097.0985796384 1317.9224999184 612.5949089714 75.1596754441 292.8560435566 43.8592517196 595.6444279281 99956.1407482803
20.199 96432.1210686892 1613.9750484298 752.2733294294 92.5988657093 360.1781860574 54.1887221486 738.0264762247 99945.8112778514
21.209 95622.2204516209 1972.5340596987 922.5072021670 113.9618442524 442.4835151619 66.8523984905 912.8807074856 99933.1476015095
22.219 94639.0238609221 2404.8005979101 1129.3304694523 140.0848325506 542.8663981169 82.3501150475 1127.3078160297 99917.6498849526
23.229 93450.1786117905 2922.9926810455 1379.6450884232 171.9573496403 664.9387474103 101.2749841170 1389.8108484575 99898.7250158830
24.239 92019.5748445556 3539.9145516482 1681.1819249306 210.7380382900 812.8556193541 124.3240029910 1710.4975304809 99875.6759970090
25.249 90308.0335840438 4268.2074340265 2042.3607845708 257.7656270145 991.3077719647 152.3063728928 2101.2743901589 99847.6936271072
26.259 88274.6141818125 5119.2186280843 2472.0053543467 518.2634144083 998.5491390176 191.8337803547 2573.5336105205 99808.1662196454
27.269 85878.6175879566 6101.5029240935 2978.8813275158 834.5627769569 995.4111393609 252.0859160076 3139.1009490295 99747.9140839925
28.279 83082.7836915069 7218.5965483257 3570.9910325482 1194.3925006505 1001.3092055968 336.3264743312 3814.1428349603 99663.6735256689
29.288 79857.5573509656 8466.3489747791 4254.5648074010 1603.7792176083 1016.9357630653 448.3870537400 4616.4717064178 99551.6129462601
30.298 76186.2862698107 9830.0290927284 5032.7658323470 2119.3438421872 991.6617076153 592.0873074077 5565.3746673852 99407.9126925924
31.308 72070.9431220491 11281.6261092809 5904.1689543297 2660.7797406696 1009.8391711314 771.8530999902 6680.6499026033 99228.1469000099
32.318 67537.5716885398 12778.0147411702 6861.1678207065 3310.4769350620 990.8667628208 991.3828737852 7982.1519319783 99008.6171262149
33.328 62640.2084800427 14260.9038356656 7888.5760235938 3976.4740903903 1024.2525726367 1255.0531792768 9487.8056505760 98744.9468207233
34.338 57461.9712100137 15659.3226023439 8962.7873159242 4759.6677412851 1002.6825226913 1565.3870045141 11213.0273368571 98434.6129954860
35.348 52112.0595116615 16895.1856091754 10051.8839903643 5538.4754449439 1035.3391693686 1924.9310029291 13168.1036408825 98075.0689970710
36.358 46718.2598994838 17891.5844698110 11117.0135743336 6426.4135189305 991.2312098300 2333.9188305794 15357.3885898771 97666.0811694208
37.368 41415.5765972119 18582.6311120720 12115.1139189838 7271.5445789343 999.2860536531 2791.5425340380 17777.2803368841 97208.4574659621
38.378 36332.9069797088 18922.7877880590 13002.7444962292 8092.1613003476 1014.4351594975 3294.8400873745 20415.7739025040 96705.1599126255
39.388 31580.4072617235 18893.4517575802 13740.4368313314 8913.7268612876 982.2599537218 3839.2491027981 23252.1265543811 96160.7508972020
40.398 27240.0886599657 18505.1760224266 14296.7689920532 9608.0126019171 1002.5835672817 4418.2750801388 26257.7233574827 95581.7249198613
41.408 23361.3444768313 17795.0179511731 14651.3910192782 10203.7856385399 1021.0974251371 5024.1261321053 29397.4069428036 94975.8738678948
