Temps Sain Infecte Remis Mort Total
0.000 99500.0000000000 500.0000000000 0.0000000000 0.0000000000 100000.0000000000 
2.540 99042.5534075020 722.6733114319 219.4142813702 15.3589996959 99984.6410003041 
5.080 98386.3059593285 1040.2807896483 535.9002346010 37.5130164221 99962.4869835779 
7.620 97451.7270234688 1488.8055716135 990.1564531940 69.3109517236 99930.6890482764 
10.160 96134.5159260826 2113.2573061374 1637.5951100747 114.6316577052 99885.3683422948 
12.700 94304.8332149469 2965.2759245517 2551.2998696275 178.5909908739 99821.4090091261 
15.240 91813.7496285890 4095.3886372167 3823.2352656020 267.6264685921 99732.3735314079 
17.780 88512.5292662365 5536.9662441088 5561.2191492100 389.2853404447 99610.7146595554 
20.320 84289.2474296646 7280.9146493807 7878.3531971539 551.4847238008 99448.5152761993 
22.860 79120.0716021647 9246.5954857190 10872.2737496414 761.0591624749 99238.9408375252 
25.400 73118.2363580680 11264.6918717369 14595.3941777526 1021.6775924427 98978.3224075574 
27.940 66550.5285257277 13093.3816165860 19024.3830445668 1331.7068131197 98668.2931868804 
30.480 59796.6891236229 14476.9410351342 24043.3363002273 1683.0335410159 98316.9664589842 
33.020 53259.4559143350 15225.6244990674 29453.1958753251 2061.7237112728 97938.2762887273 
35.560 47268.4325258240 15273.5490041488 35007.4938972219 2450.5245728055 97549.4754271946 
38.100 42023.7036758833 14684.1146790151 40459.9828458894 2832.1987992123 97167.8012007879 
40.640 37593.4633707001 13609.0636034660 45605.1149774151 3192.3580484191 96807.6419515811 
43.180 33947.5974917427 12231.6443172620 50299.7740102762 3520.9841807193 96479.0158192808 
45.720 31000.4016103719 10721.1291636034 54465.8590897430 3812.6101362820 96187.3898637180 
48.260 28645.2006702007 9208.9541267956 58080.2291616860 4065.6160413180 95934.3839586820 
50.800 26775.9433778294 7783.3365775530 61159.5514435681 4281.1686010498 95718.8313989502 
53.340 25297.8409047127 6494.6049439681 63745.3777115135 4462.1764398059 95537.8235601940 
55.880 24130.9783410078 5364.5344720766 65892.0440999214 4612.4430869945 95387.5569130055 
58.420 23210.2034547187 4395.6919988773 67658.0416321536 4736.0629142507 95263.9370857492 
60.960 22483.4101075295 3579.0626258077 69100.4927725825 4837.0344940808 95162.9655059192 
63.500 21909.3640623670 2899.5808811364 70272.0140714925 4919.0409850045 95080.9590149955 
66.040 21455.6075227772 2339.8081619350 71219.2376778394 4985.3466374488 95014.6533625512 
68.580 21096.6461816786 1882.1901315118 71982.3959689812 5038.7677178287 94961.2322821713 
71.120 20812.4617550530 1510.3181144679 72595.5328322237 5081.6872982557 94918.3127017444 
73.660 20587.3251147708 1209.5366182124 73087.0451093618 5116.0931576553 94883.9068423448 
76.200 20408.8629045534 967.1466539517 73480.3648985937 5143.6255429016 94856.3744570986 
78.740 20267.3285526818 772.3755007876 73794.6691089074 5165.6268376235 94834.3731623766 
81.280 20155.0343468618 616.2237771042 74045.5531551724 5183.1887208621 94816.8112791380 
83.820 20065.9089860887 491.2585786687 74245.6377899467 5197.1946452963 94802.8053547038 
86.360 19995.1524208737 391.3932138898 74405.0975376045 5208.3568276323 94791.6431723677 
88.900 19938.9660528949 311.6758717844 74532.1103507674 5217.2477245537 94782.7522754464 
91.440 19894.3413756434 248.0982512730 74633.2339935365 5224.3263795475 94775.6736204525 
93.980 19858.8940379589 197.4284264947 74713.7173229410 5229.9602126059 94770.0397873942 
96.520 19830.7333077974 157.0683863814 74777.7554260016 5234.4428798201 94765.5571201799 
99.060 19808.3592017784 124.9346659071 74828.6973199206 5238.0088123944 94761.9911876056 
101.600 19790.5812928844 99.3595605358 74869.2141556825 5240.8449908978 94759.1550091023 
104.140 19776.4545449900 79.0101245748 74901.4348882576 5243.1004421780 94756.8995578220 
106.680 19765.2285487277 62.8222118829 74927.0553639156 5244.8938754741 94755.1061245259 
109.220 19756.3073239292 49.9470496494 74947.4258190857 5246.3198073360 94753.6801926640 
111.760 19749.2174659768 39.7081402297 74963.6209287791 5247.4534650145 94752.5465349855 
114.300 19743.5828891177 31.5666044489 74976.4958004053 5248.3547060284 94751.6452939716 
116.840 19739.1047908746 25.0933817238 74986.7306798148 5249.0711475870 94750.9288524129 
119.380 19735.5457520874 19.9469734639 74994.8666116346 5249.6406628144 94750.3593371856 
121.920 19732.7171150033 15.8556514633 75001.3338631155 5250.0933704181 94749.9066295820 
124.460 19730.4689610894 12.6032525399 75006.4745667018 5250.4532196691 94749.5467803309 
127.000 19728.6821515152 10.0178472364 75010.5607488305 5250.7392524181 94749.2607475819 
129.540 19727.2620047763 7.9627078319 75013.8086798058 5250.9666075864 94749.0333924137 
132.080 19726.1332740863 6.3291133388 75016.3902921265 5251.1473204488 94748.8526795513 
134.620 19725.2361569224 5.0306205427 75018.4422640517 5251.2909584836 94748.7090415165 
137.160 19724.5231243572 3.9985040542 75020.0732444757 5251.4051271133 94748.5948728868 
139.700 19723.9564016015 3.1781278971 75021.3695985999 5251.4958719020 94748.5041280980 
142.240 19723.5059659042 2.5260590042 75022.3999767216 5251.5679983705 94748.4320016295 
144.780 19723.1479555081 2.0077713467 75023.2189468652 5251.6253262805 94748.3746737195 
147.320 19722.8634052257 1.5958201093 75023.8698828650 5251.6708918005 94748.3291081995 
149.860 19722.6372415585 1.2683898452 75024.3872603709 5251.7071082259 94748.2928917742 
152.400 19722.4574840669 1.0081401172 75024.7984820714 5251.7358937450 94748.2641062552 
154.940 19722.3146106488 0.8012877356 75025.1253286132 5251.7587730029 94748.2412269973 
157.480 19722.2010530793 0.6368771434 75025.3851119419 5251.7769578359 94748.2230421642 
160.020 19722.1107960749 0.5062004045 75025.5915920759 5251.7914114453 94748.2085885548 
162.560 19722.0390586339 0.4023361358 75025.7557058232 5251.8028994076 94748.1971005925 
165.100 19721.9820407686 0.3197830031 75025.8861460084 5251.8120302206 94748.1879697795 
167.640 19721.9367222072 0.2541683917 75025.9898218708 5251.8192875309 94748.1807124692 
170.180 19721.9007024032 0.2020168376 75026.0722250092 5251.8250557506 94748.1749442495 
172.720 19721.8720733734 0.1605659625 75026.1377202473 5251.8296404173 94748.1703595827 
175.260 19721.8493186291 0.1276201702 75026.1897768236 5251.8332843776 94748.1667156223 
177.800 19721.8312328459 0.1014343577 75026.2311521467 5251.8361806502 94748.1638193497 
180.340 19721.8168580160 0.0806214849 75026.2640378502 5251.8384826495 94748.1615173504 
182.880 19721.8054327025 0.0640791081 75026.2901758785 5251.8403123115 94748.1596876884 
185.420 19721.7963517049 0.0509309867 75026.3109507560 5251.8417665529 94748.1582334470 
187.960 19721.7891340020 0.0404806702 75026.3274629237 5251.8429224046 94748.1570775952 
190.500 19721.7833972715 0.0321746089 75026.3405870282 5251.8438410920 94748.1561589079 
193.040 19721.7788376381 0.0255728329 75026.3510182519 5251.8445712776 94748.1554287222 
195.580 19721.7752135780 0.0203256476 75026.3593091354 5251.8451516395 94748.1548483604 
198.120 19721.7723331245 0.0161551105 75026.3658988462 5251.8456129192 94748.1543870806 
200.660 19721.7700436999 0.0128403087 75026.3711364410 5251.8459795509 94748.1540204490 
203.200 19721.7682240333 0.0102056575 75026.3752993550 5251.8462709548 94748.1537290450 
205.740 19721.7667777368 0.0081115997 75026.3786080973 5251.8465025668 94748.1534974330 
208.280 19721.7656282002 0.0064472131 75026.3812379321 5251.8466866552 94748.1533133446 
210.820 19721.7647145324 0.0051243352 75026.3833281616 5251.8468329713 94748.1531670285 
213.360 19721.7639883366 0.0040728934 75026.3849895053 5251.8469492654 94748.1530507344 
215.900 19721.7634111459 0.0032371927 75026.3863099645 5251.8470416975 94748.1529583023 
218.440 19721.7629523867 0.0025729660 75026.3873594840 5251.8471151639 94748.1528848359 
220.980 19721.7625877585 0.0020450294 75026.3881936567 5251.8471735560 94748.1528264439 
223.520 19721.7622979469 0.0016254180 75026.3888566689 5251.8472199668 94748.1527800330 
226.060 19721.7620676006 0.0012919049 75026.3893836403 5251.8472568548 94748.1527431450 
228.600 19721.7618845181 0.0010268241 75026.3898024845 5251.8472861739 94748.1527138259 
231.140 19721.7617390016 0.0008161342 75026.3901353877 5251.8473094771 94748.1526905227 
233.680 19721.7616233431 0.0006486749 75026.3903999839 5251.8473279988 94748.1526720009 
236.220 19721.7615314160 0.0005155758 75026.3906102886 5251.8473427202 94748.1526572795 
238.760 19721.7614583512 0.0004097869 75026.3907774417 5251.8473544209 94748.1526455788 
241.300 19721.7614002782 0.0003257043 75026.3909102973 5251.8473637208 94748.1526362788 
243.840 19721.7613541209 0.0002588744 75026.3910158929 5251.8473711125 94748.1526288871 
246.380 19721.7613174345 0.0002057570 75026.3910998216 5251.8473769875 94748.1526230120 
248.920 19721.7612882756 0.0001635385 75026.3911665294 5251.8473816570 94748.1526183424 
251.460 19721.7612650997 0.0001299827 75026.3912195497 5251.8473853685 94748.1526146310 
254.000 19721.7612466792 0.0001033121 75026.3912616909 5251.8473883183 94748.1526116811 
